Name,Status,Has_Anchor,GMP,GMP_High,Sub,IPO_Size,Issue_Price,Listing_Date,Listing_Price,Nifty_Trend_7D,India_VIX_Close,IPO_Size_Cr,Sub_QIB,Sub_NII,Sub_Retail,Nifty_Trend_30D,Current_VIX
Methodhub Software,Upcoming,1,0.0,0.0,0.0,103.02,194.0,2025-12-12,0.0,0.0066698770046188,11.677499771118164,0.0,0.0,0.0,0.0,0.0104353515148965,11.227499961853027
Western Overseas Study Abroad,Upcoming,0,0.0,0.0,0.0,9.56,56.0,2025-12-11,0.0,0.0066698770046188,11.677499771118164,0.0,0.0,0.0,0.0,0.0104353515148965,11.227499961853027
Luxury Time,Upcoming,1,15.0,21.0,0.0,16.98,82.0,2025-12-11,0.0,0.0066698770046188,11.677499771118164,0.0,0.0,0.0,0.0,0.0104353515148965,11.227499961853027
Shri Kanha Stainless,Upcoming,0,0.0,0.0,0.0,43.95,90.0,2025-12-10,0.0,0.0066698770046188,11.677499771118164,0.0,0.0,0.0,0.0,0.0104353515148965,11.227499961853027
Neochem Bio,Upcoming,1,0.0,10.0,0.51,42.69,98.0,2025-12-09,0.0,0.0066795351820996,11.677499771118164,0.0,0.0,0.0,0.0,0.0104353515148965,11.227499961853027
Helloji Holidays,Upcoming,1,0.0,11.0,0.32,10.39,118.0,2025-12-09,0.0,0.0066679906418296,11.677499771118164,10.96,0.0,0.18,1.19,0.0104353515148965,11.227499961853027
Ravelcare,Upcoming,1,65.0,65.0,49.84,22.88,130.0,2025-12-08,0.0,0.0066679906418296,11.677499771118164,24.1,6.86,147.28,94.27,0.0104353515148965,11.227499961853027
Invicta Diagnostic,Upcoming,1,0.0,0.0,0.75,26.71,85.0,2025-12-08,0.0,0.0066795351820996,11.677499771118164,28.12,1.55,0.74,0.74,0.0104353515148965,11.227499961853027
Astron Multigrain,Upcoming,0,0.0,12.0,0.82,17.46,63.0,2025-12-08,0.0,0.0066795351820996,11.677499771118164,18.4,0.0,0.27,1.52,0.0104353515148965,11.227499961853027
Speb Adhesives,Upcoming,1,0.0,0.0,0.25,30.72,56.0,2025-12-08,0.0,0.0067124333491435,11.677499771118164,33.73,0.49,0.7,0.35,0.0104353515148965,11.227499961853027
Clear Secured,Upcoming,1,11.0,11.0,1.03,81.31,132.0,2025-12-08,0.0,0.0067124333491435,11.677499771118164,85.6,3.46,2.36,1.15,0.0104353515148965,11.227499961853027
Logiciel Solutions,Upcoming,0,0.0,40.0,1.82,37.9,193.0,2025-12-05,0.0,0.0067124333491435,11.677499771118164,39.9,1.32,0.73,3.42,0.0104353515148965,11.227499961853027
Exato Technologies,Upcoming,1,160.0,160.0,655.3,35.57,140.0,2025-12-05,0.0,0.0067124333491435,11.677499771118164,37.45,327.08,1488.21,1064.37,0.0104353515148965,11.227499961853027
Purple Wave Infocom,Upcoming,1,0.0,0.0,3.88,29.84,126.0,2025-12-05,0.0,0.0067124333491435,11.677499771118164,31.45,11.85,7.62,3.64,0.0104353515148965,11.227499961853027
K K Silk Mills,Upcoming,0,0.0,7.0,5.66,27.08,38.0,2025-12-03,0.0,0.0067124333491435,11.677499771118164,28.5,5.71,1.6,9.72,0.0104353515148965,11.227499961853027
Mother Nutri Foods,Upcoming,1,0.0,0.0,15.92,36.74,117.0,2025-12-03,0.0,0.0066988515370612,11.677499771118164,39.59,10.1,34.41,11.31,0.0104353515148965,11.227499961853027
SSMD Agrotech India,Listed,0,0.0,5.0,1.62,32.2,121.0,2025-12-02,73.0,0.0066988515370612,11.677499771118164,34.09,5.33,0.62,2.54,0.0104353515148965,11.227499961853027
Gallard Steel,Listed,1,63.0,70.0,375.54,35.63,150.0,2025-11-26,223.1,0.0058593036921852,11.970000267028809,37.5,228.48,624.56,351.58,0.0104353515148965,11.227499961853027
Workmates Core2Cloud,Listed,1,88.0,92.0,141.38,66.34,204.0,2025-11-18,387.6,0.0083713558127228,12.100000381469728,69.84,147.03,202.96,111.64,0.0,0.0
Mahamaya Lifesciences,Listed,1,0.0,0.0,1.63,66.91,114.0,2025-11-18,116.0,0.0083713558127228,12.100000381469728,70.44,1.19,3.63,1.02,0.0,0.0
Wakefit Innovations IPOU,Upcoming,1,36.0,36.0,0.0,1288.89,195.0,2025-12-15,0.0,0.0067220915266243,11.677499771118164,0.0,0.0,0.0,0.0,0.0104353515148965,11.227499961853027
Vidya Wires IPOU,Upcoming,1,6.0,10.0,0.0,300.01,52.0,2025-12-10,0.0,0.0066679906418296,11.677499771118164,0.0,0.0,0.0,0.0,0.0104353515148965,11.227499961853027
Aequs IPOU,Upcoming,1,44.5,44.5,0.0,921.81,124.0,2025-12-10,0.0,0.0066679906418296,11.677499771118164,0.0,0.0,0.0,0.0,0.0104353515148965,11.227499961853027
Meesho IPOU,Upcoming,1,48.0,46.75,0.0,5421.2,111.0,2025-12-10,0.0,0.0066679906418296,11.677499771118164,0.0,0.0,0.0,0.0,0.0104353515148965,11.227499961853027
Sudeep Pharma IPOL@730.00 (23.1%),Listed,1,121.0,130.0,93.71,895.0,593.0,2025-11-28,730.0,0.0051710162057941,11.619999885559082,0.0,0.0,0.0,0.0,0.0104353515148965,11.227499961853027
Excelsoft Technologies IPOL@135.00 (12.5%),Listed,1,4.0,30.0,45.46,500.0,120.0,2025-11-26,135.0,0.0058593036921852,11.970000267028809,37.45,327.08,1488.21,1064.37,0.0104353515148965,11.227499961853027
Capillary Technologies IPOL@571.90 (-0.88%),Listed,1,55.0,62.0,52.98,877.5,577.0,2025-11-21,571.9,0.0061018641263879,13.630000114440918,28.09,1.05,0.74,1.46,0.0104353515148965,11.227499961853027
Fujiyama Power Systems IPOL@220.00 (-3.51%),Listed,1,0.5,3.0,2.21,828.0,228.0,2025-11-20,220.0,0.012094678352091,12.140000343322754,50.0,0.0,6.31,4.66,0.0104353515148965,11.227499961853027
Tenneco Clean Air IPOL@505.00 (27.2%),Listed,1,104.0,123.0,61.79,3600.0,397.0,2025-11-19,505.0,0.006834555995776,11.970000267028809,0.0,0.0,0.0,0.0,0.0,0.0
ScaleSauce,Upcoming,1,0.0,0.0,0.0,38.2,107.0,2025-12-12,0.0,0.0066698770046188,11.677499771118164,0.0,0.0,0.0,0.0,0.0104353515148965,11.227499961853027
K. V. Toys India,Upcoming,1,15.0,0.0,0.0,37.74,239.0,2025-12-15,0.0,0.0067220915266243,11.677499771118164,0.0,0.0,0.0,0.0,0.0104353515148965,11.227499961853027
Flywings Simulator Training,Upcoming,1,0.0,0.0,0.0,54.19,191.0,2025-12-12,0.0,0.0066698770046188,11.677499771118164,0.0,0.0,0.0,0.0,0.0104353515148965,11.227499961853027
Riddhi Display Equipments,Upcoming,0,1.0,1.0,0.0,23.45,100.0,2025-12-15,0.0,0.0067220915266243,11.677499771118164,0.0,0.0,0.0,0.0,0.0104353515148965,11.227499961853027
